@RELATION bag

@ATTRIBUTE class {spam, ham}
@ATTRIBUTE word STRING

@DATA
ham, "!!"
ham, "!!!!"
ham, "!!!tion"
ham, "!!''."
ham, "!!8"
ham, "!1"
ham, "!4"
ham, "!:-)ts"
ham, "!Age16"
ham, "!T"
ham, "!corder"
ham, "#"
ham, "#E"
ham, "#Hope"
ham, "#Sir,"
ham, "#at"
ham, "#line"
ham, "#m"
ham, "#o"
ham, "#oy.."
ham, "$"
ham, "$1"
ham, "$140"
ham, "$180"
ham, "$2"
ham, "$50"
ham, "$50...hats"
ham, "$700"
ham, "$900"
ham, "$95/pax,"
ham, "%"
ham, "%."
ham, "%.es"
ham, "%of"
ham, "&C"
ham, "&SAM"
ham, "&it"
ham, "&othrs"
ham, "'"
ham, "''"
ham, "''OK'',"
ham, "'An"
ham, "'Comfort'"
ham, "'HEART'..."
ham, "'IF"
ham, "'Luxury'"
ham, "'MARRIED'"
ham, "'Maangalyam"
ham, "'Melle"
ham, "'Need'"
ham, "'SIMPLE'"
ham, "'That"
ham, "'Wnevr"
ham, "'anything'"
ham, "'doctors'"
ham, "'hex'"
ham, "'hw"
ham, "'its"
ham, "'ll"
ham, "'rencontre'"
ham, "'t"
ham, "'taxless'"
ham, "'terrorist'"
ham, "'til"
ham, "'xam..."
ham, "("
ham, "($900)miss"
ham, "(...)"
ham, "(Alaipayuthe)'"
ham, "(And"
ham, "(Career"
ham, "(I"
ham, "(No"
ham, "(Oru"
ham, "(Ranju)hich"
ham, "(That"
ham, "(You"
ham, "(again),"
ham, "(an"
ham, "(but"
ham, "(getting"
ham, "(he's"
ham, "(kadeem)"
ham, "(long"
ham, "(marriage)program"
ham, "(not"
ham, "(or"
ham, "(preferably"
ham, "),"
ham, ").."
ham, "*9"
ham, "*HAVE"
ham, "*I'm"
ham, "*I*"
ham, "*Missing"
ham, "*Number"
ham, "*Sent:Date"
ham, "*Wait,U"
ham, "*a"
ham, "*adoring"
ham, "*childish"
ham, "*covers"
ham, "*deep"
ham, "*devouring"
ham, "*didn't*"
ham, "*exposes"
ham, "*grins*"
ham, "*grins*7868."
ham, "*kiss*"
ham, "*kiss*.."
ham, "*kisses*"
ham, "*laughs*...n"
ham, "*loving"
ham, "*passionate"
ham, "*phews*"
ham, "*possessive"
ham, "*pouts*"
ham, "*pushes"
ham, "*sighs*"
ham, "*sips"
ham, "*smacks"
ham, "*smiles*"
ham, "*smiles*g?"
ham, "*snuggles"
ham, "*stomps"
ham, "*teasing"
ham, "*whispers*"
ham, "*wicked"
ham, "+CHEER"
ham, "+GET"
ham, ",kerala"
ham, "-NO"
ham, "-Shakespeare-"
ham, "-The"
ham, "-VIVEKANAND-"
ham, "-apples&pairs&all"
ham, "-tho"
ham, "-trivia.net"
ham, "-u"
ham, "-via"
ham, "-why"
ham, "-ySpace"
ham, ".."
ham, "...*deep"
ham, "...*grins*..."
ham, "...*kiss*"
ham, "...."
ham, "........."
ham, "......forward"
ham, "....My"
ham, "....photoshop"
ham, "...8000930705"
ham, "...CIMAL"
ham, "...Thanks"
ham, "...apply:"
ham, "...dventure?"
ham, "...m"
ham, "...ou."
ham, "...pinions"
ham, "...s.availa"
ham, "..?"
ham, "..Shiny"
ham, "..Try"
ham, "..as"
ham, "..e"
ham, "..g"
ham, "..i"
ham, "..it"
ham, "..now"
ham, "..r"
ham, "..water.?a,"
ham, "..will"
ham, ".150ppm"
ham, ".@"
ham, ".Call"
ham, ".Gud"
ham, ".Please"
ham, ".Terryw"
ham, ".after"
ham, ".at"
ham, ".be"
ham, ".by"
ham, ".co.uk"
ham, ".dont"
ham, ".e"
ham, ".em"
ham, ".ent"
ham, ".haseNG"
ham, ".ing?ll"
ham, ".irritating"
ham, ".joker"
ham, ".l.a.nd"
ham, ".ll"
ham, ".lovable."
ham, ".ment."
ham, ".nt"
ham, ".o"
ham, ".of"
ham, ".rry"
ham, ".so"
ham, ".subs16+1win150ppmx3?05"
ham, ".t"
ham, ".ting"
ham, "/-"
ham, "/0466368470"
ham, "/7"
ham, "/minMobsmoreLKPOBOX177HP51FLw"
ham, "/natalie2k9"
ham, "/oz,"
ham, "0-CM2"
ham, "010"
ham, "0125698789"
ham, "032124"
ham, "050001295"
ham, "06"
ham, "065174042."
ham, "077"
ham, "094646631"
ham, "0Ppw"
ham, "1's"
ham, "1,His"
ham, "1-Hanuman"
ham, "1-u"
ham, "1.20"
ham, "1.U"
ham, "1.childish"
ham, "10.."
ham, "10.1mega"
ham, "100percent-real.com28876"
ham, "1030"
ham, "10:10"
ham, "10:30"
ham, "11.48"
ham, "1120"
ham, "116"
ham, "11?wait"
ham, "12,000pes,"
ham, "1205"
ham, "128"
ham, "12:30"
ham, "13"
ham, "130."
ham, "1405,"
ham, "15:26,"
ham, "1680,"
ham, "1843."
ham, "1Apple/Day=No"
ham, "1Cup"
ham, "1IM"
ham, "1Lemon/Day=No"
ham, "1Tulsi"
ham, "1bysitting"
ham, "1hr"
ham, "1hr."
ham, "1ive"
ham, "1pm"
ham, "1st..."
ham, "1st?o"
ham, "1stone,"
ham, "2!"
ham, "2%"
ham, "2,"
ham, "2,Police"
ham, "2-Bajarangabali"
ham, "2-u"
ham, "2.15"
ham, "2.30ish"
ham, "2.IM"
ham, "2.U"
ham, "2.hen"
ham, "2.naughty"
ham, "20%"
ham, "216+"
ham, "24th"
ham, "255."
ham, "27."
ham, "277810910p/min"
ham, "2804g"
ham, "2?"
ham, "2?When"
ham, "2B"
ham, "2DOCD.PLEASE"
ham, "2GETHA!"
ham, "2GEVA"
ham, "2Hook"
ham, "2I"
ham, "2MORO"
ham, "2MORO!"
ham, "2MORROreceipt"
ham, "2MRW"
ham, "2MWEN"
ham, "2NITE"
ham, "2NITE-TELL"
ham, "2NITE?"
ham, "2NITE?ect!y"
ham, "2U"
ham, "2WATERSHD"
ham, "2bold?"
ham, "2day!"
ham, "2day,"
ham, "2day.love"
ham, "2geva,"
ham, "2go"
ham, "2go,"
