@RELATION sms

@ATTRIBUTE class {spam, ham}
@ATTRIBUTE length NUMERIC
@ATTRIBUTE spec_char NUMERIC
@ATTRIBUTE is_cap NUMERIC
@ATTRIBUTE digits NUMERIC
@ATTRIBUTE message STRING

@DATA
ham, 53, 1, 2, 0, "Hope you are having a good week. Just checking in"
ham, 27, 3, 1, 0, "K..give back my thanks."
ham, 47, 2, 2, 0, "Am also doing in cbe only. But have to pay."
spam, 157, 6, 24, 27, "complimentary 4 STAR Ibiza Holiday or £10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+"
spam, 166, 5, 19, 24, "okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm"
ham, 54, 4, 2, 1, "Aiya we discuss later lar... Pick u up at 4 is it?"
ham, 26, 1, 1, 0, "Are you this much buzy"
ham, 35, 0, 1, 0, "Please ask mummy to call father"
spam, 166, 8, 17, 9, "Marvel Mobile Play the official Ultimate Spider-man game (£4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper"
ham, 52, 2, 1, 0, "fyi I'm at usf now, swing by the room whenever"
ham, 102, 7, 4, 1, "Sure thing big man. i have hockey elections at 6, shouldn€˜t go on longer than an hour though"
ham, 21, 4, 1, 0, "I anything lor..."
ham, 160, 6, 5, 0, "By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies"
ham, 28, 1, 1, 0, "Hmm well, night night "
ham, 60, 2, 2, 0, "K I'll be sure to get up before noon and see what's what"
ham, 42, 7, 3, 0, "Ha ha cool cool chikku chikku:-):-DB-)"
ham, 138, 3, 3, 2, "Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor."
ham, 70, 2, 3, 0, "He dint tell anything. He is angry on me that why you told to abi."
ham, 75, 9, 2, 0, "Up to u... u wan come then come lor... But i din c any stripes skirt..."
spam, 165, 7, 21, 14, "U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription"
ham, 50, 2, 1, 1, "2mro i am not coming to gym machan. Goodnight."
ham, 54, 3, 3, 0, "ARR birthday today:) i wish him to get more oscar."
ham, 69, 5, 2, 0, "Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-)"
ham, 227, 4, 3, 0, "I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones"
ham, 53, 2, 3, 0, "Could you not read me, my Love ? I answered you"
ham, 45, 1, 1, 0, "So what did the bank say about the money?"
ham, 58, 2, 3, 0, "Well if I'm that desperate I'll just call armand again"
ham, 41, 1, 2, 0, "Fuuuuck I need to stop sleepin, sup"
ham, 36, 2, 1, 0, "So how's the weather over there?"
ham, 15, 3, 1, 0, "Ok thanx..."
ham, 40, 5, 1, 0, "Ok.ok ok..then..whats ur todays plan"
ham, 158, 18, 27, 6, "1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-)"
ham, 28, 2, 2, 0, "Sorry, I'll call later"
ham, 91, 3, 5, 0, "Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too"
